STATION,NAME,DATE,Avg_Wind_Speed,Precipitation,Snowfall,TMAX,TMIN,Fog,Heavy_fog,Thunder,Ice_pellets,Hail,Glaze,Dust,Smoke,Blowing,High_winds,Mist,Drizzle,Freezing_dizzile, Rain,Freezing,Snow,Ice Fog,Rain
USW00094746,"WORCESTER, MA US",3/4/1950,,0,0,20,-6,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",3/5/1950,,0,0,42,11,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",3/6/1950,,0,0,38,11,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",3/7/1950,,0,0,37,8,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",3/8/1950,,0.99,0,53,26,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",3/9/1950,,0.07,0,53,9,1,,,,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",3/10/1950,,0,0,22,7,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",3/11/1950,,0.03,0.5,33,11,1,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",3/12/1950,,0,0,44,28,1,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",3/13/1950,,0.15,1.5,28,20,1,,,1,,1,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",3/14/1950,,0.03,0.3,30,18,1,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",3/15/1950,,0,0,38,15,,,,,,,,,1,,,,,,,1,,
USW00094746,"WORCESTER, MA US",3/16/1950,,0,0,33,15,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",3/17/1950,,0,0,32,15,,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",3/18/1950,,0.33,4.5,32,15,,,,,,,,,1,,,,,,,1,,
USW00094746,"WORCESTER, MA US",3/19/1950,,0,0,37,12,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",3/20/1950,,0,0,45,21,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",3/21/1950,,0.32,4,34,26,1,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",3/22/1950,,0,0,41,26,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",3/23/1950,,1.27,0,38,32,1,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",3/24/1950,,0,0,39,32,1,,,,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",3/25/1950,,0,0,41,30,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",3/26/1950,,0,0,47,28,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",3/27/1950,,0.08,0,38,32,1,,,,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",3/28/1950,,0.24,0,61,34,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",3/29/1950,,0.07,0,64,31,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",3/30/1950,,0,0,38,23,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",3/31/1950,,0,0,40,21,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",4/1/1950,,0,0,51,25,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",4/2/1950,,0.13,0,51,35,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",4/3/1950,,0.07,0,55,35,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",4/4/1950,,0.08,0,75,46,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",4/5/1950,,0.14,0,59,35,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",4/6/1950,,0,0,40,23,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",4/7/1950,,0,0,42,21,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",4/8/1950,,0,0,49,28,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",4/9/1950,,0,0,40,27,,,,,,,,,,,,,,,,1,,
USW00094746,"WORCESTER, MA US",4/10/1950,,0,0,47,23,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",4/11/1950,,0,0,48,29,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",4/12/1950,,0,0,46,33,1,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",4/13/1950,,0.45,1.9,37,31,1,,,,,,,1,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",4/14/1950,,0.23,0.8,42,31,1,,,,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",4/15/1950,,0,0,44,30,,,,,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",4/16/1950,,0,0,55,33,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",4/17/1950,,0,0,60,35,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",4/18/1950,,0,0,68,46,,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",4/19/1950,,0,0,67,43,1,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",4/20/1950,,1.66,0,55,41,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",4/21/1950,,0.03,0,55,38,,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",4/22/1950,,0,0,47,33,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",4/23/1950,,0,0,50,35,,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",4/24/1950,,0,0,52,32,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",4/25/1950,,0.02,0,60,36,,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",4/26/1950,,0.58,0,41,36,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",4/27/1950,,0,0,63,35,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",4/28/1950,,0.12,0,54,39,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",4/29/1950,,0.34,0,44,35,1,,,1,,,,,,,,,,1,,1,,
USW00094746,"WORCESTER, MA US",4/30/1950,,0,0,59,37,,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/1/1950,,0.33,0,43,37,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/2/1950,,0,0,65,38,1,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",5/3/1950,,0,0,68,44,,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",5/4/1950,,0,0,72,47,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/5/1950,,0,0,54,44,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/6/1950,,0.01,0,81,45,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/7/1950,,0,0,72,37,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",5/8/1950,,0,0,54,29,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",5/9/1950,,0,0,70,35,,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/10/1950,,0.28,0,61,42,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/11/1950,,0,0,62,47,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",5/12/1950,,0,0,69,44,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",5/13/1950,,0,0,75,47,,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/14/1950,,0,0,65,34,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",5/15/1950,,0,0,62,38,1,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",5/16/1950,,0,0,60,42,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/17/1950,,0,0,73,41,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/18/1950,,0.04,0,50,43,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/19/1950,,0.55,0,44,40,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/20/1950,,0,0,60,40,,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/21/1950,,0,0,74,39,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",5/22/1950,,0,0,71,37,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",5/23/1950,,0,0,73,39,1,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",5/24/1950,,0.15,0,67,51,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/25/1950,,0.92,0,63,54,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/26/1950,,0,0,75,53,1,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",5/27/1950,,0,0,71,48,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",5/28/1950,,0,0,66,46,1,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",5/29/1950,,0.39,0,62,52,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/30/1950,,0.49,0,70,55,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",5/31/1950,,0,0,76,58,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",6/1/1950,,0.42,0,65,53,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",6/2/1950,,0,0,76,51,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/3/1950,,0.63,0,77,59,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",6/4/1950,,0.41,0,65,47,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",6/5/1950,,0,0,74,44,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/6/1950,,0,0,83,50,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/7/1950,,0,0,86,59,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/8/1950,,0,0,88,64,,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/9/1950,,0,0,90,64,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/10/1950,,0.16,0,85,60,,,1,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",6/11/1950,,0.01,0,69,50,,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",6/12/1950,,0,0,71,48,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/13/1950,,0,0,77,50,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/14/1950,,0,0,73,51,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",6/15/1950,,0,0,78,55,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/16/1950,,0,0,80,56,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/17/1950,,0.53,0,68,46,1,,1,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",6/18/1950,,0,0,66,40,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/19/1950,,0,0,59,49,,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",6/20/1950,,0.02,0,76,52,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",6/21/1950,,0.16,0,75,54,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",6/22/1950,,0,0,72,49,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/23/1950,,0,0,86,56,,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/24/1950,,0.11,0,90,62,1,,1,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",6/25/1950,,0,0,87,65,1,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/26/1950,,0,0,87,63,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/27/1950,,0,0,75,58,1,,1,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",6/28/1950,,0,0,72,54,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",6/29/1950,,0,0,82,56,,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",6/30/1950,,0,0,82,58,1,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/1/1950,,0,0,80,59,1,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/2/1950,,0,0,83,57,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/3/1950,,0.04,0,82,61,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",7/4/1950,,0.54,0,77,63,1,,1,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",7/5/1950,,0.04,0,83,60,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",7/6/1950,,0,0,76,59,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",7/7/1950,,0,0,78,54,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/8/1950,,0,0,86,62,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/9/1950,,0,0,82,65,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/10/1950,,0.04,0,76,60,,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",7/11/1950,,0.08,0,77,59,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",7/12/1950,,0.4,0,84,64,1,,1,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",7/13/1950,,0.06,0,87,66,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",7/14/1950,,0,0,74,55,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/15/1950,,0,0,76,54,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/16/1950,,0,0,67,56,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",7/17/1950,,0,0,85,62,1,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/18/1950,,0.57,0,87,62,1,,1,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",7/19/1950,,0,0,80,58,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/20/1950,,0.19,0,66,55,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",7/21/1950,,0,0,74,54,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/22/1950,,0,0,77,58,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/23/1950,,0,0,79,54,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/24/1950,,0,0,77,55,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/25/1950,,0.01,0,80,62,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/26/1950,,0,0,75,59,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/27/1950,,0,0,80,57,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/28/1950,,0,0,84,59,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/29/1950,,0,0,84,58,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/30/1950,,0,0,87,61,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",7/31/1950,,0.66,0,88,64,,,1,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",8/1/1950,,0.55,0,72,55,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",8/2/1950,,0,0,68,54,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/3/1950,,0.02,0,66,58,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",8/4/1950,,0,0,76,57,1,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/5/1950,,0,0,74,54,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/6/1950,,0.01,0,67,54,,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",8/7/1950,,0,0,69,52,1,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/8/1950,,0,0,77,51,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/9/1950,,0,0,82,61,,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/10/1950,,0.01,0,80,66,,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",8/11/1950,,0,0,80,58,,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/12/1950,,0,0,74,54,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/13/1950,,0,0,75,53,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/14/1950,,0.33,0,74,59,,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",8/15/1950,,0,0,78,58,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/16/1950,,0,0,81,61,,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",8/17/1950,,0,0,82,60,1,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/18/1950,,0,0,84,63,1,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/19/1950,,0.36,0,82,63,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",8/20/1950,,2.76,0,71,62,1,,1,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",8/21/1950,,0,0,73,53,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/22/1950,,0,0,75,55,,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",8/23/1950,,0.01,0,78,59,,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",8/24/1950,,0,0,81,60,,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/25/1950,,0,0,80,62,,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/26/1950,,0,0,85,60,1,,1,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",8/27/1950,,0,0,83,61,1,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/28/1950,,0,0,82,62,1,,,,,,,1,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/29/1950,,0.35,0,84,67,1,,1,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",8/30/1950,,0,0,68,58,1,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",8/31/1950,,0.36,0,71,58,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",9/1/1950,,0.48,0,81,67,1,,1,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",9/2/1950,,0,0,79,60,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",9/3/1950,,0.35,0,60,54,1,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",9/4/1950,,0.05,0,74,51,1,,,,,,,1,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",9/5/1950,,0,0,65,48,,,,,,,,,,,,,,1,,,,
USW00094746,"WORCESTER, MA US",9/6/1950,,0,0,70,52,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",9/7/1950,,0,0,77,54,,,,,,,,,,,,,,,,,,
USW00094746,"WORCESTER, MA US",9/8/1950,,0,0,81,59,,,,,,,,,,,,,,,,,,
